Data prepared by Tyler R. & Dave F.,,,,
avg,459877.534,MW,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,18,5,1.095211144
2015,7,18,6,1.031500704
2015,7,18,7,0.977660283
2015,7,18,8,0.935572991
2015,7,18,9,0.909609557
2015,7,18,10,0.898139112
2015,7,18,11,0.898517473
2015,7,18,12,0.91286912
2015,7,18,13,0.966322482
2015,7,18,14,1.039605035
2015,7,18,15,1.116601621
2015,7,18,16,1.188762137
2015,7,18,17,1.249961038
2015,7,18,18,1.296736535
2015,7,18,19,1.328464547
2015,7,18,20,1.357309183
2015,7,18,21,1.370749718
2015,7,18,22,1.376351209
2015,7,18,23,1.362647561
2015,7,18,24,1.343118448
2015,7,19,1,1.299569898
2015,7,19,2,1.26746135
2015,7,19,3,1.218326529
2015,7,19,4,1.148768881
2015,7,19,5,1.078361005
2015,7,19,6,1.017409996
2015,7,19,7,0.96793378
2015,7,19,8,0.927544767
2015,7,19,9,0.900211403
2015,7,19,10,0.885200885
2015,7,19,11,0.877707585
2015,7,19,12,0.891833085
2015,7,19,13,0.943807792
2015,7,19,14,1.0207087
2015,7,19,15,1.102719664
2015,7,19,16,1.182245184
2015,7,19,17,1.252131181
2015,7,19,18,1.308211329
2015,7,19,19,1.349313576
2015,7,19,20,1.376083747
2015,7,19,21,1.395595463
2015,7,19,22,1.410227619
2015,7,19,23,1.407122445
2015,7,19,24,1.384418574
2015,7,20,1,1.350961841
2015,7,20,2,1.319048997
2015,7,20,3,1.26234477
2015,7,20,4,1.183386793
2015,7,20,5,1.111419807
2015,7,20,6,1.048837928
2015,7,20,7,0.996099975
2015,7,20,8,0.958507358
2015,7,20,9,0.942470479
2015,7,20,10,0.951670755
2015,7,20,11,0.980743712
2015,7,20,12,1.029017434
2015,7,20,13,1.089957571
2015,7,20,14,1.163268393
2015,7,20,15,1.243230986
2015,7,20,16,1.320675517
2015,7,20,17,1.385238358
2015,7,20,18,1.439026591
2015,7,20,19,1.479363417
2015,7,20,20,1.503663364
2015,7,20,21,1.516401538
2015,7,20,22,1.517901938
2015,7,20,23,1.505305106
2015,7,20,24,1.475716794
2015,7,21,1,1.440561782
2015,7,21,2,1.400087963
2015,7,21,3,1.331060891
2015,7,21,4,1.239545222
2015,7,21,5,1.152435074
2015,7,21,6,1.081544462
2015,7,21,7,1.020617371
2015,7,21,8,0.978917139
2015,7,21,9,0.957996352
2015,7,21,10,0.964458942
2015,7,21,11,0.993825456
2015,7,21,12,1.031413724
2015,7,21,13,1.083033989
2015,7,21,14,1.14478956
2015,7,21,15,1.212118355
2015,7,21,16,1.276861678
2015,7,21,17,1.330973911
2015,7,21,18,1.374785575
2015,7,21,19,1.40922083
2015,7,21,20,1.43220521
2015,7,21,21,1.443186394
2015,7,21,22,1.443623467
2015,7,21,23,1.428965217
2015,7,21,24,1.394703921
2015,7,22,1,1.354075713
2015,7,22,2,1.316202587
2015,7,22,3,1.252635664
2015,7,22,4,1.162716072
2015,7,22,5,1.082736083
2015,7,22,6,1.017490452
2015,7,22,7,0.962167028
2015,7,22,8,0.923922063
2015,7,22,9,0.90533668
2015,7,22,10,0.910020536
2015,7,22,11,0.939200044
2015,7,22,12,0.979562963
2015,7,22,13,1.02830855
2015,7,22,14,1.088415856
2015,7,22,15,1.153687581
2015,7,22,16,1.214112364
2015,7,22,17,1.269342285
2015,7,22,18,1.316302614
2015,7,22,19,1.356267601
2015,7,22,20,1.382672457
2015,7,22,21,1.401016471
2015,7,22,22,1.405589428
2015,7,22,23,1.388297868
2015,7,22,24,1.354908544
2015,7,23,1,1.317078907
2015,7,23,2,1.283783086
2015,7,23,3,1.223430062
2015,7,23,4,1.138596607
2015,7,23,5,1.06139127
2015,7,23,6,0.999872718
2015,7,23,7,0.94871562
2015,7,23,8,0.908874579
2015,7,23,9,0.894227201
2015,7,23,10,0.902766431
2015,7,23,11,0.935555595
2015,7,23,12,0.976625225
2015,7,23,13,1.026255829
2015,7,23,14,1.086863269
2015,7,23,15,1.154550855
2015,7,23,16,1.21772637
2015,7,23,17,1.271612455
2015,7,23,18,1.318381428
2015,7,23,19,1.35537606
2015,7,23,20,1.381089427
2015,7,23,21,1.398185283
2015,7,23,22,1.403095286
2015,7,23,23,1.389441651
2015,7,23,24,1.360542653
2015,7,24,1,1.326383558
2015,7,24,2,1.293300838
2015,7,24,3,1.235063594
2015,7,24,4,1.151004258
2015,7,24,5,1.075042731
2015,7,24,6,1.010345071
2015,7,24,7,0.958781344
2015,7,24,8,0.921749746
2015,7,24,9,0.903016497
2015,7,24,10,0.910314092
2015,7,24,11,0.936227513
2015,7,24,12,0.97476386
2015,7,24,13,1.026440661
2015,7,24,14,1.087480825
2015,7,24,15,1.156383951
2015,7,24,16,1.218872327
2015,7,24,17,1.274430596
2015,7,24,18,1.32361543
2015,7,24,19,1.363945732
2015,7,24,20,1.390783312
2015,7,24,21,1.409266494
2015,7,24,22,1.4154464
2015,7,24,23,1.401525302
2015,7,24,24,1.368625239
2015,7,25,1,1.328531956
2015,7,25,2,1.290256549
2015,7,25,3,1.229542559
2015,7,25,4,1.153539716
2015,7,25,5,1.075527642
2015,7,25,6,1.007231199
2015,7,25,7,0.952520981
2015,7,25,8,0.910111865
2015,7,25,9,0.88278285
2015,7,25,10,0.87276714
2015,7,25,11,0.871775571
2015,7,25,12,0.88532918
2015,7,25,13,0.929788842
2015,7,25,14,0.996889315
2015,7,25,15,1.072872588
2015,7,25,16,1.146100779
2015,7,25,17,1.20893055
2015,7,25,18,1.26026813
2015,7,25,19,1.300157011
2015,7,25,20,1.330284597
2015,7,25,21,1.351298887
2015,7,25,22,1.359472802
2015,7,25,23,1.350466057
2015,7,25,24,1.321258281
2015,7,26,1,1.285383512
2015,7,26,2,1.253105354
2015,7,26,3,1.199358436
2015,7,26,4,1.125493119
2015,7,26,5,1.054306775
2015,7,26,6,0.990707235
2015,7,26,7,0.938834729
2015,7,26,8,0.897902092
2015,7,26,9,0.870055548
2015,7,26,10,0.855679982
2015,7,26,11,0.849084748
2015,7,26,12,0.85478844
2015,7,26,13,0.897695516
2015,7,26,14,0.969669025
2015,7,26,15,1.049031458
2015,7,26,16,1.123644801
2015,7,26,17,1.192141297
2015,7,26,18,1.250026273
2015,7,26,19,1.293124704
2015,7,26,20,1.324093818
2015,7,26,21,1.345832214
2015,7,26,22,1.358550818
2015,7,26,23,1.354523659
2015,7,26,24,1.333035329
2015,7,27,1,1.306663091
2015,7,27,2,1.27918621
2015,7,27,3,1.225239239
2015,7,27,4,1.149410356
2015,7,27,5,1.074390383
2015,7,27,6,1.013002301
2015,7,27,7,0.963015079
2015,7,27,8,0.928312362
2015,7,27,9,0.913145281
2015,7,27,10,0.924987564
2015,7,27,11,0.953723475
2015,7,27,12,0.994962715
2015,7,27,13,1.053460898
2015,7,27,14,1.124401524
2015,7,27,15,1.205196947
2015,7,27,16,1.282143519
2015,7,27,17,1.348743859
2015,7,27,18,1.401588363
2015,7,27,19,1.44157727
2015,7,27,20,1.467662475
2015,7,27,21,1.483873313
2015,7,27,22,1.489755314
2015,7,27,23,1.477643394
2015,7,27,24,1.448272531
2015,7,28,1,1.4127696
2015,7,28,2,1.377103583
2015,7,28,3,1.310155325
2015,7,28,4,1.222908184
2015,7,28,5,1.138357413
2015,7,28,6,1.065218376
2015,7,28,7,1.00748344
2015,7,28,8,0.966787823
2015,7,28,9,0.946456323
2015,7,28,10,0.953205946
2015,7,28,11,0.984512107
2015,7,28,12,1.028173731
2015,7,28,13,1.086628424
2015,7,28,14,1.160074064
2015,7,28,15,1.242750423
2015,7,28,16,1.320851651
2015,7,28,17,1.387230192
2015,7,28,18,1.442394879
2015,7,28,19,1.482344645
2015,7,28,20,1.509799781
2015,7,28,21,1.525273465
2015,7,28,22,1.528245996
2015,7,28,23,1.51435969
2015,7,28,24,1.482723007
2015,7,29,1,1.449703346
2015,7,29,2,1.410455941
2015,7,29,3,1.341328842
2015,7,29,4,1.251422297
2015,7,29,5,1.165588576
2015,7,29,6,1.091858077
2015,7,29,7,1.030580894
2015,7,29,8,0.98659527
2015,7,29,9,0.964024044
2015,7,29,10,0.968894906
2015,7,29,11,1.000803401
2015,7,29,12,1.043969241
2015,7,29,13,1.095519922
2015,7,29,14,1.163714164
2015,7,29,15,1.243070073
2015,7,29,16,1.319938364
2015,7,29,17,1.386827911
2015,7,29,18,1.440753137
2015,7,29,19,1.484049447
2015,7,29,20,1.509508399
2015,7,29,21,1.520667891
2015,7,29,22,1.525336526
2015,7,29,23,1.515005514
2015,7,29,24,1.485573766
2015,7,30,1,1.448672637
2015,7,30,2,1.408046604
2015,7,30,3,1.340230723
2015,7,30,4,1.247740882
2015,7,30,5,1.159823998
2015,7,30,6,1.086906759
2015,7,30,7,1.026214514
2015,7,30,8,0.983140003
2015,7,30,9,0.961225473
2015,7,30,10,0.967177057
2015,7,30,11,0.998302735
2015,7,30,12,1.035151676
2015,7,30,13,1.08818536
2015,7,30,14,1.155727255
2015,7,30,15,1.230427577
2015,7,30,16,1.306128166
2015,7,30,17,1.369181909
2015,7,30,18,1.423946489
2015,7,30,19,1.462719855
2015,7,30,20,1.486245684
2015,7,30,21,1.499651427
2015,7,30,22,1.502428253
2015,7,30,23,1.487074165
2015,7,30,24,1.45422629
2015,7,31,1,1.414659234
2015,7,31,2,1.375609707
2015,7,31,3,1.30493437
2015,7,31,4,1.216700009
2015,7,31,5,1.133582229
2015,7,31,6,1.058712296
2015,7,31,7,0.99723071
2015,7,31,8,0.954523688
2015,7,31,9,0.931178343
2015,7,31,10,0.932074233
2015,7,31,11,0.956869965
2015,7,31,12,0.997232885
2015,7,31,13,1.050362247
2015,7,31,14,1.114701115
2015,7,31,15,1.186444128
2015,7,31,16,1.255964811
2015,7,31,17,1.315552414
2015,7,31,18,1.365172146
2015,7,31,19,1.409279541
2015,7,31,20,1.439568039
2015,7,31,21,1.459458117
2015,7,31,22,1.461088986
2015,7,31,23,1.436693361
2015,7,31,24,1.390004844
2015,8,1,1,1.337777896
2015,8,1,2,1.291637351
2015,8,1,3,1.22662874
2015,8,1,4,1.143510959
2015,8,1,5,1.067573351
2015,8,1,6,0.998952908
2015,8,1,7,0.941518052
2015,8,1,8,0.898226092
2015,8,1,9,0.871108002
2015,8,1,10,0.858719922
2015,8,1,11,0.85787187
2015,8,1,12,0.871288485
2015,8,1,13,0.917272467
2015,8,1,14,0.987304155
2015,8,1,15,1.059268966
2015,8,1,16,1.1315643
2015,8,1,17,1.194518017
2015,8,1,18,1.239971422
2015,8,1,19,1.275844016
2015,8,1,20,1.306202098
2015,8,1,21,1.329443069
2015,8,1,22,1.341572385
2015,8,1,23,1.33547076
2015,8,1,24,1.309405125
2015,8,2,1,1.274400154
2015,8,2,2,1.236113874
2015,8,2,3,1.177111209
2015,8,2,4,1.100382086
2015,8,2,5,1.028275932
2015,8,2,6,0.965546188
2015,8,2,7,0.914243399
2015,8,2,8,0.874406707
2015,8,2,9,0.846066553
2015,8,2,10,0.830010104
2015,8,2,11,0.824341204
2015,8,2,12,0.83518757
2015,8,2,13,0.878449087
2015,8,2,14,0.944934179
2015,8,2,15,1.022061234
2015,8,2,16,1.099040424
2015,8,2,17,1.169804916
2015,8,2,18,1.229740438
2015,8,2,19,1.27567658
2015,8,2,20,1.312018864
2015,8,2,21,1.340459045
2015,8,2,22,1.362541011
2015,8,2,23,1.361321121
2015,8,2,24,1.337105978
2015,8,3,1,1.305001779
2015,8,3,2,1.273269418
2015,8,3,3,1.21018958
2015,8,3,4,1.129285433
2015,8,3,5,1.051423399
2015,8,3,6,0.987473765
2015,8,3,7,0.934818442
2015,8,3,8,0.899876531
2015,8,3,9,0.885122603
2015,8,3,10,0.894051067
2015,8,3,11,0.92556163
2015,8,3,12,0.968907953
2015,8,3,13,1.02413135
2015,8,3,14,1.089216069
2015,8,3,15,1.162198543
2015,8,3,16,1.23238462
2015,8,3,17,1.29840437
2015,8,3,18,1.355239067
2015,8,3,19,1.39903116
2015,8,3,20,1.42976543
2015,8,3,21,1.450277412
2015,8,3,22,1.455056946
2015,8,3,23,1.440446534
2015,8,3,24,1.409242574
2015,8,4,1,1.372002225
2015,8,4,2,1.332396029
2015,8,4,3,1.262923185
2015,8,4,4,1.173279754
2015,8,4,5,1.09227558
2015,8,4,6,1.024044371
2015,8,4,7,0.968849241
2015,8,4,8,0.931537134
2015,8,4,9,0.911218681
2015,8,4,10,0.918916383
2015,8,4,11,0.948422064
2015,8,4,12,0.989446029
2015,8,4,13,1.038337306
2015,8,4,14,1.099781926
2015,8,4,15,1.174027779
2015,8,4,16,1.249891455
2015,8,4,17,1.313377922
2015,8,4,18,1.367264007
2015,8,4,19,1.409784023
2015,8,4,20,1.435699618
2015,8,4,21,1.452045274
2015,8,4,22,1.455172194
2015,8,4,23,1.438469921
2015,8,4,24,1.404091203
2015,8,5,1,1.366435526
2015,8,5,2,1.327951367
2015,8,5,3,1.257532619
2015,8,5,4,1.169952781
2015,8,5,5,1.090707771
2015,8,5,6,1.021241451
2015,8,5,7,0.969181939
2015,8,5,8,0.931872006
2015,8,5,9,0.914002031
2015,8,5,10,0.919977535
2015,8,5,11,0.94952888
2015,8,5,12,0.98912203
2015,8,5,13,1.037108719
2015,8,5,14,1.096700671
2015,8,5,15,1.167349914
2015,8,5,16,1.236787966
2015,8,5,17,1.299659052
2015,8,5,18,1.351403263
2015,8,5,19,1.39295563
2015,8,5,20,1.419828001
2015,8,5,21,1.431507198
2015,8,5,22,1.430180758
2015,8,5,23,1.413987316
2015,8,5,24,1.380719763
2015,8,6,1,1.345495168
2015,8,6,2,1.309298575
2015,8,6,3,1.242628652
2015,8,6,4,1.158995516
2015,8,6,5,1.080518101
2015,8,6,6,1.014220016
2015,8,6,7,0.96226488
2015,8,6,8,0.923859003
2015,8,6,9,0.906897965
2015,8,6,10,0.91586557
2015,8,6,11,0.947332643
2015,8,6,12,0.986179942
2015,8,6,13,1.027875826
2015,8,6,14,1.079352574
2015,8,6,15,1.1390576
2015,8,6,16,1.196903435
2015,8,6,17,1.247601715
2015,8,6,18,1.291217674
2015,8,6,19,1.32671843
2015,8,6,20,1.348765604
2015,8,6,21,1.362725842
2015,8,6,22,1.362819346
2015,8,6,23,1.347141259
2015,8,6,24,1.322154171
2015,8,7,1,1.297654171
2015,8,7,2,1.26208818
2015,8,7,3,1.204575042
2015,8,7,4,1.128739635
2015,8,7,5,1.059095007
2015,8,7,6,0.996895839
2015,8,7,7,0.946108405
2015,8,7,8,0.910857715
2015,8,7,9,0.895253561
2015,8,7,10,0.905019204
2015,8,7,11,0.933189748
2015,8,7,12,0.973272158
2015,8,7,13,1.014731022
2015,8,7,14,1.071474389
2015,8,7,15,1.132438446
2015,8,7,16,1.187381334
2015,8,7,17,1.235391942
2015,8,7,18,1.278994855
2015,8,7,19,1.315491528
2015,8,7,20,1.344390526
2015,8,7,21,1.361436369
2015,8,7,22,1.365148226
2015,8,7,23,1.349713683
2015,8,7,24,1.318831548
2015,8,8,1,1.284478924
2015,8,8,2,1.250080635
2015,8,8,3,1.190760495
2015,8,8,4,1.115464362
2015,8,8,5,1.045330473
2015,8,8,6,0.982057106
2015,8,8,7,0.931602369
2015,8,8,8,0.893192143
2015,8,8,9,0.869290127
2015,8,8,10,0.860809608
2015,8,8,11,0.864406218
2015,8,8,12,0.87854259
2015,8,8,13,0.917133299
2015,8,8,14,0.973720103
2015,8,8,15,1.040753167
2015,8,8,16,1.104961566
2015,8,8,17,1.159280375
2015,8,8,18,1.203957487
2015,8,8,19,1.237605575
2015,8,8,20,1.264823691
2015,8,8,21,1.284087515
2015,8,8,22,1.290878454
2015,8,8,23,1.282837182
2015,8,8,24,1.256436675
2015,8,9,1,1.230227524
